State,Name of District (Traffic unit),Name of Jurisdictional Police Station,NH/SH/MDR/OR No.,Name of Location Place,Limits of High Accident Prone Location - Starting from (km),Limits of High Accident Prone Location - Ending to (km),Numbers of Accidents - 2016,Numbers of Accidents - 2017,Numbers of Accidents - 2018,Numbers of Accidents - Total of all three years,Numbers of Fatalities - 2016,Numbers of Fatalities - 2017,Numbers of Fatalities - 2018,Numbers of Fatalities - Total of all three years
Manipur,Thoubal,Thoubal PS,NH 102,Thoubal Haokha area,Haokha area 1.5 km,Keyam Sephai 2 km,3,9,NA,12,1,2,NA,3
Manipur,Kakching,Kakching,NH 102,Kakching Khunuta Ching,"3kms, Kakching Lamkhai",3 kms and 500m. Sora Village,2,2,2,6,0,1,1,2
Manipur,Thoubal,Thoubal PS,NH 102,"Heirok Lamkhai, Wangjing",Wangjing Bazar-5 km,Uningkhong Wangjing -5.5 km,6,1,3,10,1,0,0,1
Manipur,Kakching,Kakching,NH 102,Heitroipokpi near power house,"4 kms and 500 m, Lengba Loukol","5 kms, Kuraopokpi",4,2,3,9,0,0,1,1
Manipur,Kakching,Kakching,NH 102,Kakching Lamkhai,"2 kms and 500 m, Irumphal, Kakching","3kms, Khunuta Chingjin",4,1,2,7,0,0,0,0
Megahalaya,Jowai traffic Branch, Jowai,NR,Wah Gate Chahtngit Jowai,0km,0.5km,0,9,2,11,0,2,0,2
Megahalaya,East Jaintia Hills,Khliehrait PS,NH,Byndihati,6km,6km,7,NA,NA,7,1,NA,NA,1
Megahalaya,Jowai traffic Branch, Jowai,NR,Mooralong NH44,0km,0.5km,5,4,5,14,0,0,0,0
Mizoram,AIZAWL,VAIVAKAWN,NH,RANGVAMUAL,2,7,3,3,4,10,4,3,5,12
Mizoram,AIZAWL,KULIKAWN,NH,WORLD BANK ROAD,2,7,1,2,2,5,1,2,2,5
Mizoram,KOLASIB,KOLASIB,NH-306,KHUANGPUILAM,1,2,0,2,1,3,0,2,1,3
Mizoram,KOLASIB,KOLASIB,NH-306,KHAMRANG,1,4,2,0,0,2,2,0,0,2
Mizoram,SERCHHIP,SERCHHIP,NH,RALKIAUVA KHAM,1,9,0,1,1,2,0,1,1,2
Madhya Pradesh,Shivpuri,Amola,NH 27,Naya Amola sirsos chouraha,02-May,3-0,6,11,7,24,6,8,9,23
Madhya Pradesh,Khargon,Maheswar,NH 3,Ganpati Ghat ganesh mandir ke pas A B Road Bakaner,50-1,50-21 ,4,5,8,17,3,13,7,23
Madhya Pradesh,Devash,O Chetra Devash,NH 3,Rasoolpur Chouraha,1-0,01-May,158,NA,NA,158,22,NA,NA,22
Madhya Pradesh,Sagar,Cant,NH 26,For line gadpahra tiraha,2-0,02-May,8,14,5,27,4,8,9,21
Madhya Pradesh,Dhar,Sector 1,NH 3,AB Road bhodiya talab ke samne tiraha,22-0, 22-2 ,6,4,13,23,7,3,9,19
Madhya Pradesh,Mandsore,Pipaliya Mandi,NH 79,Pipliya mandi choupati Highway Road,14-May,15,7,6,9,22,7,5,7,19
Madhya Pradesh,Shivpuri,Amola,NH 27,Amola Krasher,10,10-May,3,4,6,13,7,5,5,17
Madhya Pradesh,Dhar,Dhamnod,NH 3,Ganesh Ghat,8,12,82,NA,NA,82,17,NA,NA,17
Madhya Pradesh,Nimach,Jawad,NH 79,Kanka Fanta Highway,03-Jan,03-Feb,2,3,18,23,2,11,3,16
Madhya Pradesh,Bhind,dehat,NH 92,Daboha more,3-0  ,03-May,5,5,10,20,2,4,9,15
Nagaland,Kohima,South PS,NH/29,NST garage New Reserve Junction,184,184.5,10,5,5,20,2,0,0,2
Nagaland,Kohima,South PS,NH/29,City Church-ioc,182-5,183,17,9,14,40,0,0,1,1
Nagaland,Kohima,South PS,NH/29,"New reserve Junction, revival Church",184.5,185,5,0,7,12,1,NA,0,1
Nagaland,Kohima,North PS,NH/2,Kezieke to Tinpati,1,1.5,5,NA,NA,5,1,NA,NA,1
Nagaland,Kohima,South PS,NH/29,TCP gate-City Church,182,182.5,16,11,9,36,0,0,0,0
Nagaland,Kohima,South PS,NH/29,IOC-OLD NST,183,183-5,6,7,5,18,0,0,0,0
Nagaland,Kohima,South PS,NH/29,OLD INT NST garage,183.5,184,8,8,5,21,0,0,0,0
Nagaland,Kohima,Sechü Zubza PS,NH/29,Orphanage to AR Camp,177.5,178,2,NA,5,7,0,0,NA,0
Nagaland,Kiphire,Kiphire PS,NH-202,Kiphire Town,220,220.5,1,3,1,5,0,0,0,0
Nagaland,Kohima,Sechü Zubza PS,NH/29,Lalmati to Peducha Village,164,164.5,6,5,NA,11,0,0,NA,0
Rajasthan,Jaipur Gramin,Chaikankan,8,Padasoli ,339.75,339.95,13,14,9,36,7,15,4,26
Rajasthan,Jaipur Gramin,Chaikankan,8,Moukhampura,312.3,312.65,15,11,13,39,7,10,7,24
Rajasthan,Jaipur Gramin,Chaikankan,8,Mahlan,301.1,301.45,10,14,13,37,8,7,8,23
Rajasthan,Ajmer,Vyawar Sadar,8,Kharwa Chouraha,1,1,13,11,11,35,7,9,6,22
Rajasthan,Rajsamand         ,Bhim,8,Nandawat,1.5,2,9,15,12,36,7,12,2,21
Rajasthan,Jaipur Purva,Kanota,NH-11,Mali ki Kothi bagrana,369 KM ,369.10 KM,21,13,14,48,8,6,6,20
Rajasthan,Udaypur,Kherwad,8,Khandi Obari,345-60,346-10,6,7,3,16,6,11,3,20
Rajasthan,Jaipur Gramin,Bendakuramp,8,BELPUR,0,500 METER,5,12,4,21,5,12,2,19
Rajasthan,Bharatpur,Rupwas,NH NO123,Bokoli,1,1,5,3,11,19,5,3,11,19
Rajasthan,Bundi,Taleda,",u ,p 52",Bllop pulia ke pas,0.5,1,12,3,7,22,2,1,16,19
Tamilnadu,Chennai City,T1 Ambattur Traffic P S,NH 205,"C.T.H. Road Mannurpet, AMBT Tel Exchange",18,18.5,251,300,224,775,59,56,51,166
Tamilnadu,Chennai City,T15 SRMC Traffic P S,NH 48,"Tambaram - Puzhal Bypass Road,  Porur Toll gate Near",17,17.5,173,119,131,423,30,30,37,97
Tamilnadu,Chennai City,T12 Poonamallee Traffic P S,NH 44,"Bangalore-Chennai NH Rd, Nazarethpet junction",5,5.5,166,188,166,520,27,37,31,95
Tamilnadu,Cuddalore,Kadampuliyur  PS,NH 45 C ,Panikankuppam,30.4,30.9,113,86,86,285,16,11,14,41
Tamilnadu,Vellore,Ambur Taluk PS,NH 46 ,Minnur JN,32,32.5,11,9,18,38,11,9,18,38
Tamilnadu,Kanchipuram ,G1 MADHURANTHAGAM ,NH ,Karunkuzhi,4,4.5,32,30,20,82,12,12,12,36
Tamilnadu,Chennai City,T4 Maduravoyal Traffic P S,NH-45,P.H Road-Vembuli Amman koil junction,0.5,1,45,59,43,147,9,22,5,36
Tamilnadu,Vellore,Ambur Taluk PS,NH 46 ,Periyangkuppam JN,35,35.5,11,11,13,35,11,11,13,35
Tamilnadu,Viluppuram,Olakkur PS,NH 45,Saram BDO office,114+750,115+250,27,27,24,78,10,15,6,31
Tamilnadu,Cuddalore,Annamalai nagar ps,NH 45A,Vallampadugai,116.1,116.6,41,46,32,119,12,11,8,31
Uttrakhand,UKI,Dhrasu,NH 108,Nalupani,2,2.5,3,3,1,7,3,36,2,41
Uttrakhand,UDN,ITI,NH 74,Permanandpur,152,152.5,7,5,2,14,10,6,2,18
Uttrakhand,TWL,Chamba,NH 94,Kirgani,81,81.5,0,0,1,1,0,0,17,17
